Topic,Count,Name,Representation,Representative_Docs
-1,32,-1_бассейн_полис_страховой_олимпийский,"['бассейн', 'полис', 'страховой', 'олимпийский', 'страхование', 'входной билет', 'входной', 'уважаемый', 'сотрудник', 'преподаватель сотрудник']","['уважаемый преподаватель сотрудник желать посещать бассейн обь олимпийский алтгту сентябрь декабрь получение входной билет необходимо подавать заявка телефон либо татьяна геннадьевна бассейн обь входной билет посещение бассейн олимпийский входной билет именной посещение расписание физический лицо обновлять расписание сайт бассейн олимпийский алтгту льгота распространяться работник университет заявка приниматься предел выделять лимит', 'уважаемый преподаватель сотрудник желать посещать бассейн обь олимпийский алтгту период март май получение входной билет необходимо подавать заявка телефон профком алтгу татьяна геннадьевна бассейн обь входной билет посещение бассейн олимпийский входной билет именной посещение расписание физический лицо расписание сайт бассейн олимпийский алтгту льгота распространяться работник университет заявка приниматься предел выделять лимит бассейн', 'уважаемый преподаватель сотрудник желать посещать бассейн обь олимпийский алтгту период октябрь декабрь получение входной билет необходимо подавать заявка татьяна геннадьевна бассейн обь входной билет посещение бассейн олимпийский входной билет именной посещение расписание физический лицо обновлять расписание сайт бассейн олимпийский алтгту льгота распространяться работник университет заявка приниматься предел выделять лимит']"
0,383,0_барнаул_программа_алтайский_парк,"['барнаул', 'программа', 'алтайский', 'парк', 'день', 'фестиваль', 'театр', 'город', 'билет', 'край']","['уважаемый работник университет июнь суббота работник университет организовывать поездка зоопарк новосибирск маршрут движение автобус начало посадка отправление автобус маршрут главный корпус алтгу проспект ленин санитарный остановка грань алтай прибытие новосибирск парковка зоопарк свободный время отправление барнаул санитарный остановка грань алтай прибытие барнаул совет желающий необходимо записываться воцап татьяна геннадьевна отправлять заявка почта посадка автобус осуществляться предварительный запись входной билет зоопарк океанариум дельфинариум оплачиваться самостоятельно стоимость входной билет зоопарк взрослый руб ребенок руб ребенок бесплатно студент очный форма руб пенсионер инвалид группа руб стоимость входной льготный билет возможный наличие соответствующий документ входной билет дельфинарий руб океанариум руб детский руб взрослый стоимость билет необходимо уточнять официальный сайт поездка', 'уважаемый работник университет сентябрь суббота работник университет организовывать поездка зоопарк новосибирск маршрут движение автобус начало посадка отправление автобус маршрут главный корпус алтгу проспект ленин санитарный остановка грань алтай прибытие новосибирск парковка зоопарк свободный время отправление барнаул санитарный остановка грань алтай прибытие барнаул совет желать просить записываться воцап татьяна геннадьевна отправлять заявка почта посадка автобус осуществляться предварительный запись входной билет зоопарк океанариум дельфинариум оплачиваться самостоятельно стоимость входной билет зоопарк взрослый ребенок ребенок бесплатно студент очный форма пенсионер инвалид группа входной билет дельфинарий океанариум детский взрослый стоимость билет необходимо уточнять официальный сайт', 'уважаемый работник университет сентябрь суббота работник университет организовывать поездка зоопарк новосибирск маршрут движение автобус начало посадка отправление автобус маршрут главный корпус алтгу проспект ленин санитарный остановка грань алтай прибытие новосибирск парковка зоопарк свободный время отправление барнаул санитарный остановка грань алтай прибытие барнаул совет желать просить записываться воцап татьяна геннадьевна отправлять заявка почта ️посадка автобус осуществляться предварительный запись ️входной билет зоопарк океанариум дельфинариум оплачиваться самостоятельно стоимость входной билет зоопарк взрослый ребенок включительно ребенок бесплатно студент очный форма пенсионер инвалид группа входной билет дельфинарий океанариум детский взрослый стоимость билет необходимо уточнять официальный сайт поездка профсоюз']"
1,144,1_профсоюзный_профсоюз_организация_профсоюзный организация,"['профсоюзный', 'профсоюз', 'организация', 'профсоюзный организация', 'университет', 'коллега', 'договор', 'член', 'день', 'работник']","['уважаемый член профсоюзный организация фгбоу алтайский государственный университет сотрудник университет профсоюзный организация алтгу информировать протяжение длительный время профсоюзный организация алтгу работать благо работник университет осуществлять защита ваш право помогать устраивать досуг всячески содействовать получение мера социальный поддержка кабинет знак работник обращаться профсоюз миг изменяться июнь представитель администрация университет официальный уведомление выселять профсоюз свой дом бухгалтер профсоюзный организация татьяна геннадьевна давать возможность толком собирать материальный ценность профсоюз опись имущество профсоюзный организация находиться кабинет представитель администрация составлять считать подобный поведение администрация вуз нарушение основополагающий принцип социальный партнерство равноправие уважение сторона действие прямо нарушать положение отраслевой соглашение образовательный организация высокий образование находиться ведение минобрнаука рф закреплять обязанность работодатель препятствовать функционирование первичный профсоюзный организация результат неконструктивный действие администрация работа профсоюзный организация алтгу временно становиться невозможный первичный профсоюзный организация фгбоу алтайский государственный университет объединять работник университет проведение переговоры заключение коллективный договор именно профсоюзный организация алтгу уполномочивать подавлять большинство сотрудник алтгу представление защита свой интерес считать подобный действие администрация вуз являться проявление неуважение профсоюз первый очередь работник университет интерес представлять напоминать протокол разногласие коллективный договор вынести пункт вопрос помещение профсоюзный организация вопрос трехгодичный контракт ппс выселение профсоюз профком рассматривать сообщение решение работодатель представитель отклонение часть требование работник вносить протокол разногласие статья рф связь излагать первичный профсоюзный организация фгбоу алтайский государственный университет рассматривать вопрос начало коллективный трудовой спор надеяться ваш поддержка адрес размещение профсоюз комсомольский корпус ауд уважение ваш профсоюз', 'уважаемый коллега объявляться конкурс комфортный рабочий среда профсоюз акция комфортный среда приурочивать празднование летний юбилей алтайский государственный университет профсоюзный организация университет акция направленный повышение уровень комфортный условие время работа член профсоюз также качество поощрение активный профсоюзный группа подразделение университет рамка акция член профсоюз мочь направлять заявка получение денежный грант улучшение комфортный среда свой профгруппа размер денежный грант определяться каждый участник конкурс индивидуально заседание оргкомитет конкурс исходить требование пункт максимальный величина грант составлять руб оргкомитет конкурс являться член президиум профсоюзный организация заявка приниматься заявка необходимо бумажный вид направлять профком заявка должный заверять подпись профгрупорг заявка необходимо указывать планировать предмет приобретение примерный стоимость фио член профорганизация пользоваться предмет номер кабинет планироваться размещение приобретать предмет соответствие выбирать номинация указывать процент профсоюзный членство профгруппа подаваться заявка список член профсоюз подавать заявление вступление период заявка мочь приводить обоснование выбор предмет планироваться потратить средство грант получать заявка рассматриваться заседание оргкомитет конкурс президиум профсоюзный организация оргкомитет формировать список победитель принимать решение удовлетворение заявка исходить размер денежный средство выделять проведение конкурс активность профсоюзный член поступать заявка обоснование заявка приоритет отдаваться заявка повышать комфортный среда длительный перспектива количество заявка структурный подразделение соответствие заявка условие номинация процент профсоюзный членство количество вновь вступать конкурс проводиться номинация привлечение член учитываться количество член профсоюз подавать заявление вступление период участие номинация количество вступать период должно мало сохранение профсоюзный членство профгруппа протяжение последний сохранять высокий процент профсоюзный членство решение оргкомитет сумма конкретный заявка мочь скорректировать количество член профсоюз подразделение фиксироваться момент поступление заявка допускаться заявка высокий сумма грант привлечение профсоюз профсоюзный член средство получать грант мочь потратить товар следующий список вода кулер набор чай кофе электрический чайник кофеварка товар климат освежитель очиститель увлажнитель воздух офисный принадлежность работа наушники канцелярия компьютерный мышь предмет предварительный согласование оргкомитет подтверждать документ целевой использование грант должный предоставлять бухгалтерия профсоюз комсомольский каба течение день момент получение приобретать предмет маркироваться наклейка символика профсоюз дверь кабинет находиться приобретать счет средство грант предмет размещаться объявление участие акция пункт являться обязательный выполнение случай отсутствие объявление маркировка профсоюзный организация оставлять право истребовать возврат средство грант конкурс', 'уважаемый коллега напоминать конкурс комфортный рабочий среда профсоюз завершаться апрель подавать заявка участие успевать конкурс комфортный рабочий среда профсоюз акция комфортный среда приурочивать празднование летний юбилей алтайский государственный университет профсоюзный организация университет акция направленный повышение уровень комфортный условие время работа член профсоюз также качество поощрение активный профсоюзный группа подразделение университет рамка акция член профсоюз мочь направлять заявка получение денежный грант улучшение комфортный среда свой профгруппа размер денежный грант определяться каждый участник конкурс индивидуально заседание оргкомитет конкурс исходить требование пункт максимальный величина грант составлять руб оргкомитет конкурс являться член президиум профсоюзный организация заявка приниматься заявка необходимо бумажный вид направлять профком заявка должный заверять подпись профгрупорг заявка необходимо указывать планировать предмет приобретение примерный стоимость фио член профорганизация пользоваться предмет номер кабинет планироваться размещение приобретать предмет соответствие выбирать номинация указывать процент профсоюзный членство профгруппа подаваться заявка список член профсоюз подавать заявление вступление период заявка мочь приводить обоснование выбор предмет планироваться потратить средство грант получать заявка рассматриваться заседание оргкомитет конкурс президиум профсоюзный организация оргкомитет формировать список победитель принимать решение удовлетворение заявка исходить размер денежный средство выделять проведение конкурс активность профсоюзный член поступать заявка обоснование заявка приоритет отдаваться заявка повышать комфортный среда длительный перспектива количество заявка структурный подразделение соответствие заявка условие номинация процент профсоюзный членство количество вновь вступать конкурс проводиться номинация привлечение член учитываться количество член профсоюз подавать заявление вступление период участие номинация количество вступать период должно мало сохранение профсоюзный членство профгруппа протяжение последний сохранять высокий процент профсоюзный членство решение оргкомитет сумма конкретный заявка мочь скорректировать количество член профсоюз подразделение фиксироваться момент поступление заявка допускаться заявка высокий сумма грант привлечение профсоюз профсоюзный член средство получать грант мочь потратить товар следующий список вода кулер набор чай кофе электрический чайник кофеварка товар климат освежитель очиститель увлажнитель воздух офисный принадлежность работа наушники канцелярия компьютерный мышь предмет предварительный согласование оргкомитет подтверждать документ целевой использование грант должный предоставлять бухгалтерия профсоюз комсомольский каба течение день момент получение приобретать предмет маркироваться наклейка символика профсоюз дверь кабинет находиться приобретать счет средство грант предмет размещаться объявление участие акция пункт являться обязательный выполнение случай отсутствие объявление маркировка профсоюзный организация оставлять право истребовать возврат средство грант конкурс']"
2,35,2_дайджестбарнаул_барнаултуризм дайджестбарнаул_дайджест_барнаултуризм,"['дайджестбарнаул', 'барнаултуризм дайджестбарнаул', 'дайджест', 'барнаултуризм', 'событие', 'город', 'событие город', 'еженедельный', 'еженедельный дайджест', 'выходной']","['увлекательный событие город постоянный еженедельный дайджест барнаултуризм дайджестбарнаул', 'увлекательный событие город постоянный еженедельный дайджест барнаултуризм дайджестбарнаул', 'увлекательный событие город постоянный еженедельный дайджест барнаултуризм дайджестбарнаул']"
